Year,Title,Artist
2000,I Knew I Loved You,Savage Garden
2000,Breathe,Faith Hill
2000,You Sang To Me,Marc Anthony
2000,Taking You Home,Don Henley
2000,Back Here,BBMak
2000,Cruisin',Huey Lewis & Gwyneth Paltrow
2000,This I Promise You,'N Sync
2001,The Christmas Shoes,NewSong
2001,This I Promise You,'N Sync
2001,I Hope You Dance,Lee Ann Womack
2001,Thank You,Dido
2001,There You'll Be,Faith Hill
2001,Only Time,Enya
2001,If You're Gone,matchbox twenty
2001,Hero,Enrique Iglesias
2002,Simple Things,Jim Brickman Featuring Rebecca Lynn Howard
2002,Hero,Enrique Iglesias
2002,A New Day Has Come,Celine Dion
2002,To Where You Are,Josh Groban
2002,Do It For Love,Daryl Hall John Oates
2002,A Thousand Miles,Vanessa Carlton
2002,Cry,Faith Hill
2002,Can't Stop Loving You,Phil Collins
2002,O Holy Night,Josh Groban
2003,O Holy Night,Josh Groban
2003,Cry,Faith Hill
2003,Landslide,Dixie Chicks
2003,The Game Of Love,Santana Featuring Michelle Branch
2003,Beautiful,Christina Aguilera
2003,Drift Away,Uncle Kracker Featuring Dobie Gray
2003,Forever And For Always,Shania Twain
2003,Unwell,matchbox twenty
2004,Sending You A Little Christmas,Jim Brickman With Kristy Starling
2004,Drift Away,Uncle Kracker Featuring Dobie Gray
2004,Calling All Angels,Train
2004,Forever And For Always,Shania Twain
2004,You Raise Me Up,Josh Groban
2004,The First Cut Is The Deepest,Sheryl Crow
2004,100 Years,Five For Fighting
2004,This One's For The Girls,Martina McBride
2004,Heaven,Los Lonely Boys
2004,Believe,Josh Groban
2005,Believe,Josh Groban
2005,Heaven,Los Lonely Boys
2005,Breakaway,Kelly Clarkson
2005,Home,Michael Buble
2005,Lonely No More,Rob Thomas
2005,Up On The Housetop,Kimberley Locke
2006,Up On The Housetop,Kimberley Locke
2006,Lonely No More,Rob Thomas
2006,You And Me,Lifehouse
2006,You're Beautiful,James Blunt
2006,Bad Day,Daniel Powter
2006,Unwritten,Natasha Bedingfield
2006,What Hurts The Most,Rascal Flatts
2006,Jingle Bells,Kimberley Locke
2006,It Came Upon A Midnight Clear,Daryl Hall John Oates
2007,It Came Upon A Midnight Clear,Daryl Hall John Oates
2007,What Hurts The Most,Rascal Flatts
2007,Unwritten,Natasha Bedingfield
2007,Waiting On The World To Change,John Mayer
2007,How To Save A Life,The Fray
2007,Chasing Cars,Snow Patrol
2007,Everything,Michael Buble
2007,Home,Daughtry
2007,Big Girls Don't Cry,Fergie
2007,Frosty The Snowman,Kimberley Locke
2007,I'll Be Home For Christmas,Josh Groban
2008,I'll Be Home For Christmas,Josh Groban
2008,Bubbly,Colbie Caillat
2008,Love Song,Sara Bareilles
2008,Bleeding Love,Leona Lewis
2008,The Time Of My Life,David Cook
2008,A Baby Changes Everything,Faith Hill
2009,A Baby Changes Everything,Faith Hill
2009,The Time Of My Life,David Cook
2009,Viva La Vida,Coldplay
2009,I'm Yours,Jason Mraz
2009,Love Story,Taylor Swift
2009,The Climb,Miley Cyrus
2009,You Belong With Me,Taylor Swift
2010,You Belong With Me,Taylor Swift
2010,Haven't Met You Yet,Michael Buble
2010,Fallin' For You,Colbie Caillat
2010,Need You Now,Lady Antebellum
2010,"Hey, Soul Sister",Train
2010,Breakeven,The Script
2010,Mine,Taylor Swift
2010,Oh Santa!,Mariah Carey
