Year,Title,Artist
2000,Fruta Fresca,Carlos Vives
2000,Te Quiero Mucho,Los Rieleros del Norte
2000,Desnuda,Ricardo Arjona
2000,Que Alguien Me Diga,Gilberto Santa Rosa
2000,A Puro Dolor,Son By Four
2000,No Me Dejes De Querer,Gloria Estefan
2000,Entre El Mar Y Una Estrella,Thalia
2000,Muy Dentro De Mi,Marc Anthony
2000,Jurame,Gisselle
2000,Imaginame Sin Ti,Luis Fonsi
2000,Como Me Duele Perderte,Gloria Estefan
2000,Cuando,Ricardo Arjona
2000,Ven Conmigo (Solamente Tu),Christina Aguilera
2000,Ven A Mi,Oscar De La Hoya
2000,She Bangs,Ricky Martin
2000,Yo Te Amo,Chayanne
2000,Cuando Seas Mia,Son By Four
2001,Yo Te Amo,Chayanne
2001,Te Quise Olvidar,MDO
2001,Abrazame Muy Fuerte,Juan Gabriel
2001,Solo Quiero Amarte,Ricky Martin
2001,Quiero,Jerry Rivera
2001,La Bomba,Azul Azul
2001,Azul,Cristian
2001,Como Se Cura Una Herida,Jaci Velasquez
2001,Como Olvidar,Olga Tanon
2001,O Me Voy O Te Vas,Marco Antonio Solis
2001,Suerte,Shakira
2001,Hero,Enrique Iglesias
2001,Dejame Entrar,Carlos Vives
2001,Tantita Pena,Alejandro Fernandez
2002,Tantita Pena,Alejandro Fernandez
2002,Dejame Entrar,Carlos Vives
2002,Como Duele,Luis Miguel
2002,Suerte,Shakira
2002,Flor Sin Retono,Charlie Zaa
2002,Luna Nueva,Carlos Vives
2002,Quitame Ese Hombre,Pilar Montenegro
2002,Y Tu Te Vas,Chayanne
2002,Tu Y Yo,Thalia
2002,El Dolor De Tu Presencia,Jennifer Pena
2002,Mentiroso,Enrique Iglesias
2002,No Me Ensenaste,Thalia
2002,Asereje,Las Ketchup
2002,El Problema,Ricardo Arjona
2003,El Problema,Ricardo Arjona
2003,Asi Es La Vida,Olga Tanon
2003,Seduceme,India
2003,Quizas,Enrique Iglesias
2003,Que Me Quedes Tu,Shakira
2003,Una Vez Mas,Conjunto Primavera
2003,Tal Vez,Ricky Martin
2003,Para Que La Vida,Enrique Iglesias
2003,Mariposa Traicionera,Mana
2003,Tu Amor O Tu Desprecio,Marco Antonio Solis
2003,Fotografia,Juanes With Nelly Furtado
2003,Casi,Soraya
2003,Jaleo,Ricky Martin
2003,Un Siglo Sin Ti,Chayanne
2003,Antes,Obie Bermudez
2003,Hoy,Gloria Estefan
2003,Te Necesito,Luis Miguel
2003,Mientes Tan Bien,Sin Bandera
2004,Me Canse De Ti,Obie Bermudez
2004,Mientes Tan Bien,Sin Bandera
2004,Cuidarte El Alma,Chayanne
2004,Te Quise Tanto,Paulina Rubio
2004,Cerca De Ti,Thalia
2004,Y Todo Queda En Nada,Ricky Martin
2004,Tengo Ganas,Victor Manuelle
2004,Tu Fotografia,Gloria Estefan
2004,Mas Que Tu Amigo,Marco Antonio Solis
2004,Abrazar La Vida,Luis Fonsi
2004,Vivo Y Muero En Tu Piel,Jennifer Pena
2004,Ahora Quien,Marc Anthony
2004,Que De Raro Tiene,Los Temerarios
2004,Como Tu,Carlos Vives
2004,Son De Amores,Andy & Lucas
2004,Nada Valgo Sin Tu Amor,Juanes
2004,Me Dedique A Perderte,Alejandro Fernandez
2004,Dame Otro Tequila,Paulina Rubio
2005,Todo El Ano,Obie Bermudez
2005,Volverte A Ver,Juanes
2005,Hoy Como Ayer,Conjunto Primavera
2005,Aire,Intocable
2005,La Camisa Negra,Juanes
2005,La Tortura,Shakira Featuring Alejandro Sanz
2005,Nada Es Para Siempre,Luis Fonsi
2005,Rompe,Daddy Yankee
2005,Amor Eterno,Cristian Castro
2006,Rompe,Daddy Yankee
2006,Llame Pa' Verte,Wisin & Yandel
2006,Lo Que Son Las Cosas,Anais
2006,Hips Don't Lie,Shakira Featuring Wyclef Jean
2006,Angelito,Don Omar
