Year,Title,Artist
2000,Smooth,Santana Featuring Rob Thomas
2000,Everything You Want,Vertical Horizon
2000,Breathe,Faith Hill
2000,Bent,matchbox twenty
2000,With Arms Wide Open,Creed
2000,If You're Gone,matchbox twenty
2001,If You're Gone,matchbox twenty
2001,Thank You,Dido
2001,Follow Me,Uncle Kracker
2001,Hanging By A Moment,Lifehouse
2001,Drops Of Jupiter (Tell Me),Train
2001,Only Time,Enya
2001,Superman (It's Not Easy),Five For Fighting
2001,Wherever You Will Go,The Calling
2002,Wherever You Will Go,The Calling
2002,Soak Up The Sun,Sheryl Crow
2002,Complicated,Avril Lavigne
2002,The Game Of Love,Santana Featuring Michelle Branch
2003,The Game Of Love,Santana Featuring Michelle Branch
2003,I'm With You,Avril Lavigne
2003,Unwell,matchbox twenty
2003,Calling All Angels,Train
2003,Why Don't You & I,Santana Featuring Alex Band Or Chad Kroeger
2003,Here Without You,3 Doors Down
2004,Here Without You,3 Doors Down
2004,The First Cut Is The Deepest,Sheryl Crow
2004,Someday,Nickelback
2004,My Immortal,Evanescence
2004,This Love,Maroon 5
2004,The Reason,Hoobastank
2004,She Will Be Loved,Maroon 5
2004,Daughters,John Mayer
2005,Give A Little Bit,Goo Goo Dolls
2005,Boulevard Of Broken Dreams,Green Day
2005,Lonely No More,Rob Thomas
2005,You And Me,Lifehouse
2005,Behind These Hazel Eyes,Kelly Clarkson
2005,Photograph,Nickelback
2006,Photograph,Nickelback
2006,You're Beautiful,James Blunt
2006,Bad Day,Daniel Powter
2006,Black Horse & The Cherry Tree,KT Tunstall
2006,Crazy,Gnarls Barkley
2006,Far Away,Nickelback
2006,How To Save A Life,The Fray
2007,How To Save A Life,The Fray
2007,Chasing Cars,Snow Patrol
2007,It's Not Over,Daughtry
2007,If Everyone Cared,Nickelback
2007,Home,Daughtry
2007,Hey There Delilah,Plain White T's
2007,Big Girls Don't Cry,Fergie
2007,Who Knew,P!nk
2007,Bubbly,Colbie Caillat
2008,Bubbly,Colbie Caillat
2008,Apologize,Timbaland Featuring OneRepublic
2008,Love Song,Sara Bareilles
2008,Feels Like Tonight,Daughtry
2008,Bleeding Love,Leona Lewis
2008,It's Not My Time,3 Doors Down
2008,Viva La Vida,Coldplay
2008,I'm Yours,Jason Mraz
2008,So What,P!nk
2008,Hot N Cold,Katy Perry
2009,Hot N Cold,Katy Perry
2009,Gotta Be Somebody,Nickelback
2009,You Found Me,The Fray
2009,Sober,P!nk
2009,Gives You Hell,The All-American Rejects
2009,Second Chance,Shinedown
2009,Her Diamonds,Rob Thomas
2009,No Surprise,Daughtry
2009,Use Somebody,Kings Of Leon
2009,Already Gone,Kelly Clarkson
2010,Already Gone,Kelly Clarkson
2010,Fireflies,Owl City
2010,Someday,Rob Thomas
2010,"Hey, Soul Sister",Train
2010,Need You Now,Lady Antebellum
2010,Breakeven,The Script
2010,California Gurls,Katy Perry
2010,If It's Love,Train
2010,Misery,Maroon 5
2010,Teenage Dream,Katy Perry
2010,Just The Way You Are,Bruno Mars
