Year,Title,Artist
2000,All The Small Things,Blink-182
2000,Otherside,Red Hot Chili Peppers
2000,Kryptonite,3 Doors Down
2000,Last Resort,Papa Roach
2000,Californication,Red Hot Chili Peppers
2000,Minority,Green Day
2000,Hemorrhage (In My Hands),Fuel
2001,Hemorrhage (In My Hands),Fuel
2001,Hanging By A Moment,Lifehouse
2001,Butterfly,Crazy Town
2001,Drive,Incubus
2001,It's Been Awhile,Staind
2001,Fat Lip,Sum 41
2001,Smooth Criminal,Alien Ant Farm
2001,How You Remind Me,Nickelback
2001,In The End,Linkin Park
2002,In The End,Linkin Park
2002,Blurry,Puddle Of Mudd
2002,Youth Of The Nation,P.O.D.
2002,The Middle,Jimmy Eat World
2002,Seein' Red,Unwritten Law
2002,Hero,Chad Kroeger Featuring Josey Scott
2002,By The Way,Red Hot Chili Peppers
2002,Aerials,System Of A Down
2002,You Know You're Right,Nirvana
2002,All My Life,Foo Fighters
2003,All My Life,Foo Fighters
2003,Always,Saliva
2003,No One Knows,Queens Of The Stone Age
2003,Can't Stop,Red Hot Chili Peppers
2003,Bring Me To Life,Evanescence Featuring Paul McCoy
2003,Somewhere I Belong,Linkin Park
2003,Like A Stone,Audioslave
2003,Headstrong,Trapt
2003,Send The Pain Below,Chevelle
2003,Seven Nation Army,The White Stripes
2003,Just Because,Jane's Addiction
2003,Faint,Linkin Park
2003,So Far Away,Staind
2003,Weak And Powerless,A Perfect Circle
2003,Numb,Linkin Park
2004,Numb,Linkin Park
2004,Hit That,The Offspring
2004,Megalomaniac,Incubus
2004,I Miss You,Blink-182
2004,The Reason,Hoobastank
2004,Last Train Home,Lostprophets
2004,Love Song,311
2004,Cold Hard Bitch,Jet
2004,Lying From You,Linkin Park
2004,Ch-Check It Out,Beastie Boys
2004,Slither,Velvet Revolver
2004,Float On,Modest Mouse
2004,Just Like You,Three Days Grace
2004,Breaking The Habit,Linkin Park
2004,American Idiot,Green Day
2004,Vertigo,U2
2004,Pain,Jimmy Eat World
2004,Boulevard Of Broken Dreams,Green Day
2005,Boulevard Of Broken Dreams,Green Day
2005,E-Pro,Beck
2005,Be Yourself,Audioslave
2005,Holiday,Green Day
2005,The Hand That Feeds,Nine Inch Nails
2005,Beverly Hills,Weezer
2005,Best Of You,Foo Fighters
2005,Feel Good Inc,Gorillaz
2005,Only,Nine Inch Nails
2005,DOA,Foo Fighters
2006,DOA,Foo Fighters
2006,Hypnotize,System Of A Down
2006,Perfect Situation,Weezer
2006,Wasteland,10 Years
2006,Every Day Is Exactly The Same,Nine Inch Nails
2006,World Wide Suicide,Pearl Jam
2006,Dani California,Red Hot Chili Peppers
2006,"Steady, As She Goes",The Raconteurs
2006,Miss Murder,AFI
2006,Animal I Have Become,Three Days Grace
2006,Tell Me Baby,Red Hot Chili Peppers
2006,When You Were Young,The Killers
2006,Welcome To The Black Parade,My Chemical Romance
2006,Anna-Molly,Incubus
2007,Anna-Molly,Incubus
2007,Snow ((Hey Oh)),Red Hot Chili Peppers
2007,Pain,Three Days Grace
2007,From Yesterday,Thirty Seconds To Mars
2007,Survivalism,Nine Inch Nails
2007,What I've Done,Linkin Park
2007,Icky Thump,The White Stripes
2007,Paralyzer,Finger Eleven
2007,The Pretender,Foo Fighters
2008,Fake It,Seether
2008,Long Road To Ruin,Foo Fighters
2008,Psycho,Puddle Of Mudd
2008,Rise Above This,Seether
2008,Pork And Beans,Weezer
2008,Let It Die,Foo Fighters
2008,Viva La Vida,Coldplay
2008,Believe,Staind
2008,"You're Gonna Go Far, Kid",The Offspring
2008,Sex On Fire,Kings Of Leon
2009,Sex On Fire,Kings Of Leon
2009,Second Chance,Shinedown
2009,Love Hurts,Incubus
2009,Brother,Pearl Jam
2009,Use Somebody,Kings Of Leon
2009,Feel Good Drag,Anberlin
2009,Know Your Enemy,Green Day
2009,New Divide,Linkin Park
2009,Panic Switch,Silversun Pickups
2009,Notion,Kings Of Leon
2009,Uprising,Muse
2009,Check My Brain,Alice In Chains
2010,Uprising,Muse
2010,Kings And Queens,Thirty Seconds To Mars
2010,1901,Phoenix
2010,Back Against The Wall,Cage The Elephant
2010,Resistance,Muse
2010,Mountain Man,Crash Kings
2010,Between The Lines,Stone Temple Pilots
2010,Lay Me Down,The Dirty Heads Featuring Rome
2010,This Is War,Thirty Seconds To Mars
2010,In One Ear,Cage The Elephant
2010,The Catalyst,Linkin Park
2010,Animal,Neon Trees
2010,Little Lion Man,Mumford & Sons
2010,Radioactive,Kings Of Leon
2010,Tighten Up,The Black Keys
