Year,Title,Artist
2000,...And Then There Was X,DMX
2000,Vol. 3... Life And Times Of S. Carter,JAY-Z
2000,Supernatural,Santana
2000,Voodoo,D'Angelo
2000,No Strings Attached,'N Sync
2000,Oops!...I Did It Again,Britney Spears
2000,The Marshall Mathers LP,Eminem
2000,Now 4,Various Artists
2000,Country Grammar,Nelly
2000,G.O.A.T. Featuring James T. Smith: The Greatest Of All Time,LL Cool J
2000,Music,Madonna
2000,Let's Get Ready,Mystikal
2000,Kid A,Radiohead
2000,Rule 3:36,Ja Rule
2000,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit
2000,The Dynasty Roc La Familia (2000 -- ),JAY-Z
2000,tp-2.com,R. Kelly
2000,1,The Beatles
2000,Black & Blue,Backstreet Boys
2001,1,The Beatles
2001,J.Lo,Jennifer Lopez
2001,Hotshot,Shaggy
2001,Everyday,Dave Matthews Band
2001,Until The End Of Time,2Pac
2001,Now 6,Various Artists
2001,All For You,Janet
2001,Survivor,Destiny's Child
2001,Lateralus,Tool
2001,Break The Cycle,Staind
2001,Take Off Your Pants And Jacket,Blink-182
2001,Devil's Night,D12
2001,Songs In A Minor,Alicia Keys
2001,Celebrity,'N Sync
2001,Now 7,Various Artists
2001,Now,Maxwell
2001,Aaliyah,Aaliyah
2001,Toxicity,System Of A Down
2001,The Blueprint,JAY-Z
2001,Pain Is Love,Ja Rule
2001,God Bless America,Various Artists
2001,The Great Depression,DMX
2001,Invincible,Michael Jackson
2001,Britney,Britney Spears
2001,Scarecrow,Garth Brooks
2001,Weathered,Creed
2002,Weathered,Creed
2002,Drive,Alan Jackson
2002,J To Tha L-O! The Remixes,Jennifer Lopez
2002,Under Rug Swept,Alanis Morissette
2002,"O Brother, Where Art Thou?",Soundtrack
2002,Now 9,Various Artists
2002,A New Day Has Come,Celine Dion
2002,Ashanti,Ashanti
2002,"No Shoes, No Shirt, No Problems",Kenny Chesney
2002,Hood Rich,Big Tymers
2002,Juslisen (Just Listen),Musiq
2002,P. Diddy & Bad Boy Records Present... We Invented The Remix,Various Artists
2002,The Eminem Show,Eminem
2002,Nellyville,Nelly
2002,Busted Stuff,Dave Matthews Band
2002,Unleashed,Toby Keith
2002,The Rising,Bruce Springsteen
2002,Home,Dixie Chicks
2002,Believe,Disturbed
2002,Elv1s: 30 #1 Hits,Elvis Presley
2002,Cry,Faith Hill
2002,Shaman,Santana
2002,8 Mile,Soundtrack
2002,The Blueprint 2: The Gift And The Curse,JAY-Z
2002,Up!,Shania Twain
2003,Up!,Shania Twain
2003,8 Mile,Soundtrack
2003,Come Away With Me,Norah Jones
2003,Home,Dixie Chicks
2003,Get Rich Or Die Tryin',50 Cent
2003,Chocolate Factory,R. Kelly
2003,Meteora,Linkin Park
2003,Faceless,Godsmack
2003,Thankful,Kelly Clarkson
2003,American Life,Madonna
2003,Body Kiss,The Isley Brothers Featuring Ronald Isley
2003,The Golden Age Of Grotesque,Marilyn Manson
2003,14 Shades Of Grey,Staind
2003,How The West Was Won,Led Zeppelin
2003,St. Anger,Metallica
2003,Dance With My Father,Luther Vandross
2003,After The Storm,Monica
2003,Dangerously In Love,Beyonce
2003,Chapter II,Ashanti
2003,Bad Boys II,Soundtrack
2003,Greatest Hits Volume II And Some Other Stuff,Alan Jackson
2003,The Neptunes Present... Clones,Various Artists
2003,Love & Life,Mary J. Blige
2003,Metamorphosis,Hilary Duff
2003,Heavier Things,John Mayer
2003,Grand Champ,DMX
2003,Speakerboxxx/The Love Below,OutKast
2003,Chicken*N*Beer,Ludacris
2003,Measure Of A Man,Clay Aiken
2003,Shock'n Y'All,Toby Keith
2003,The Black Album,JAY-Z
2003,In The Zone,Britney Spears
2003,The Diary Of Alicia Keys,Alicia Keys
2003,Soulful,Ruben Studdard
2004,The Diary Of Alicia Keys,Alicia Keys
2004,Speakerboxxx/The Love Below,OutKast
2004,Closer,Josh Groban
2004,Kamikaze,Twista
2004,When The Sun Goes Down,Kenny Chesney
2004,Feels Like Home,Norah Jones
2004,Confessions,Usher
2004,D12 World,D12
2004,Under My Skin,Avril Lavigne
2004,Contraband,Velvet Revolver
2004,To The 5 Boroughs,Beastie Boys
2004,Kiss Of Death,Jadakiss
2004,The Hunger For More,Lloyd Banks
2004,License To Chill,Jimmy Buffett
2004,Autobiography,Ashlee Simpson
2004,Now 16,Various Artists
2004,Live Like You Were Dying,Tim McGraw
2004,What I Do,Alan Jackson
2004,Suit,Nelly
2004,American Idiot,Green Day
2004,Feels Like Today,Rascal Flatts
2004,50 Number Ones,George Strait
2004,Stardust... The Great American Songbook Vol. III,Rod Stewart
2004,Unfinished Business,R. Kelly & Jay-Z
2004,Now 17,Various Artists
2004,Encore,Eminem
2004,How To Dismantle An Atomic Bomb,U2
2004,MTV Ultimate Mash-Ups Presents: Collision Course,Jay-Z/Linkin Park
2004,The Red Light District,Ludacris
2005,Encore,Eminem
2005,American Idiot,Green Day
2005,The Documentary,The Game
2005,Be As You Are: Songs From An Old Blue Chair,Kenny Chesney
2005,Seventeen Days,3 Doors Down
2005,Genius Loves Company,Ray Charles
2005,O,Omarion
2005,The Massacre,50 Cent
2005,The Emancipation Of Mimi,Mariah Carey
2005,...Something To Be,Rob Thomas
2005,Devils & Dust,Bruce Springsteen
2005,With Teeth,Nine Inch Nails
2005,Stand Up,Dave Matthews Band
2005,Mezmerize,System Of A Down
2005,Out Of Exile,Audioslave
2005,X&Y,Coldplay
2005,Somewhere Down In Texas,George Strait
2005,TP.3 Reloaded,R. Kelly
2005,Now 19,Various Artists
2005,Fireflies,Faith Hill
2005,Chapter V,Staind
2005,Most Wanted,Hilary Duff
2005,Late Registration,Kanye West
2005,The Peoples Champ,Paul Wall
2005,Ten Thousand Fists,Disturbed
2005,All Jacked Up,Gretchen Wilson
2005,All The Right Reasons,Nickelback
2005,Unplugged,Alicia Keys
2005,I Am Me,Ashlee Simpson
2005,#1's,Destiny's Child
2005,NOW 20,Various Artists
2005,The Road And The Radio,Kenny Chesney
2005,Confessions On A Dance Floor,Madonna
2005,Hypnotize,System Of A Down
2005,Curtain Call: The Hits,Eminem
2006,The Breakthrough,Mary J. Blige
2006,Unpredictable,Jamie Foxx
2006,Ancora,Il Divo
2006,The Greatest Songs Of The Fifties,Barry Manilow
2006,Curious George (Soundtrack),Jack Johnson
2006,Ghetto Classics,Jaheim
2006,High School Musical,Soundtrack
2006,In My Own Words,Ne-Yo
2006,Reality Check,Juvenile
2006,3121,Prince
2006,King,T.I.
2006,Me And My Gang,Rascal Flatts
2006,IV,Godsmack
2006,"10,000 Days",Tool
2006,Stadium Arcadium,Red Hot Chili Peppers
2006,Taking The Long Way,Dixie Chicks
2006,Decemberunderground,AFI
2006,The Big Bang,Busta Rhymes
2006,Loose,Nelly Furtado
2006,"Testimony: Vol. 1, Life & Relationship (Bonus Track Edition)",India.Arie
2006,American V: A Hundred Highways,Johnny Cash
2006,NOW 22,Various Artists
2006,LeToya,LeToya
2006,Port Of Miami,Rick Ross
2006,Back To Basics,Christina Aguilera
2006,Danity Kane,Danity Kane
2006,Modern Times,Bob Dylan
2006,B'Day,Beyonce
2006,FutureSex/LoveSounds,Justin Timberlake
2006,Release Therapy,Ludacris
2006,The Open Door,Evanescence
2006,Still The Same... Great Rock Classics Of Our Time,Rod Stewart
2006,Press Play,Diddy
2006,Hannah Montana,Soundtrack
2006,NOW 23,Various Artists
2006,Doctor's Advocate,The Game
2006,Kingdom Come,JAY-Z
2006,Light Grenades,Incubus
2006,Ciara: The Evolution,Ciara
2006,The Inspiration,Young Jeezy
2007,Hip Hop Is Dead,Nas
2007,21,Omarion
2007,Dreamgirls,Soundtrack
2007,Daughtry,Daughtry
2007,Late Night Special,Pretty Ricky
2007,Not Too Late,Norah Jones
2007,Infinity On High,Fall Out Boy
2007,Greatest Hits,The Notorious B.I.G.
2007,Luvanmusiq,Musiq Soulchild
2007,We Were Dead Before The Ship Even Sank,Modest Mouse
2007,Let It Go,Tim McGraw
2007,NOW 24,Various Artists
2007,The Best Damn Thing,Avril Lavigne
2007,Because Of You,Ne-Yo
2007,Call Me Irresponsible,Michael Buble
2007,Minutes To Midnight,Linkin Park
2007,It Won't Be Soon Before Long,Maroon 5
2007,Double Up,R. Kelly
2007,Epiphany,T-Pain
2007,Big Dog Daddy,Toby Keith
2007,Lost Highway,Bon Jovi
2007,Hannah Montana 2 (Soundtrack)/Meet Miley Cyrus,Miley Cyrus
2007,T.I. Vs T.I.P.,T.I.
2007,NOW 25,Various Artists
2007,Finding Forever,Common
2007,Underground Kingz,UGK
2007,High School Musical 2,Soundtrack
2007,Graduation,Kanye West
2007,Reba Duets,Reba McEntire
2007,Still Feels Good,Rascal Flatts
2007,Magic,Bruce Springsteen
2007,Rock N Roll Jesus,Kid Rock
2007,Carnival Ride,Carrie Underwood
2007,Long Road Out Of Eden,Eagles
2007,American Gangster,JAY-Z
2007,As I Am,Alicia Keys
2007,Noel,Josh Groban
2008,Noel,Josh Groban
2008,Growing Pains,Mary J. Blige
2008,In Rainbows,Radiohead
2008,As I Am,Alicia Keys
2008,Juno,Soundtrack
2008,Sleep Through The Static,Jack Johnson
2008,Discipline,Janet
2008,Good Time,Alan Jackson
2008,Trilla,Rick Ross
2008,Welcome To The Dollhouse,Danity Kane
2008,DAY26,DAY26
2008,Troubadour,George Strait
2008,Spirit,Leona Lewis
2008,E=MC2,Mariah Carey
2008,Hard Candy,Madonna
2008,Home Before Dark,Neil Diamond
2008,Narrow Stairs,Death Cab For Cutie
2008,3 Doors Down,3 Doors Down
2008,Here I Stand,Usher
2008,Indestructible,Disturbed
2008,Tha Carter III,Lil Wayne
