Year,Title,Artist
2000,Breathe,Faith Hill
2000,Cowboy Take Me Away,Dixie Chicks
2000,My Best Friend,Tim McGraw
2000,Smile,Lonestar
2000,How Do You Like Me Now?!,Toby Keith
2000,The Best Day,George Strait
2000,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean
2000,The Way You Love Me,Faith Hill
2000,Yes!,Chad Brock
2000,I Hope You Dance,Lee Ann Womack With Sons Of The Desert
2000,What About Now,Lonestar
2000,It Must Be Love,Alan Jackson
2000,That's The Way,Jo Dee Messina
2000,Kiss This,Aaron Tippin
2000,The Little Girl,John Michael Montgomery
2000,Best Of Intentions,Travis Tritt
2000,Just Another Day In Paradise,Phil Vassar
2000,We Danced,Brad Paisley
2000,My Next Thirty Years,Tim McGraw
2001,My Next Thirty Years,Tim McGraw
2001,Born To Fly,Sara Evans
2001,Without You,Dixie Chicks
2001,Tell Her,Lonestar
2001,There Is No Arizona,Jamie O'Neal
2001,But For The Grace Of God,Keith Urban
2001,You Shouldn't Kiss Me Like This,Toby Keith
2001,One More Day,Diamond Rio
2001,Who I Am,Jessica Andrews
2001,Ain't Nothing 'Bout You,Brooks & Dunn
2001,Don't Happen Twice,Kenny Chesney
2001,Grown Men Don't Cry,Tim McGraw
2001,I'm Already There,Lonestar
2001,When I Think About Angels,Jamie O'Neal
2001,Austin,Blake Shelton
2001,I'm Just Talkin' About Tonight,Toby Keith
2001,What I Really Meant To Say,Cyndi Thomson
2001,Where I Come From,Alan Jackson
2001,Only In America,Brooks & Dunn
2001,Angry All The Time,Tim McGraw
2001,I Wanna Talk About Me,Toby Keith
2001,Where Were You (When The World Stopped Turning),Alan Jackson
2002,Where Were You (When The World Stopped Turning),Alan Jackson
2002,Good Morning Beautiful,Steve Holy
2002,Bring On The Rain,Jo Dee Messina With Tim McGraw
2002,The Cowboy In Me,Tim McGraw
2002,The Long Goodbye,Brooks & Dunn
2002,Blessed,Martina McBride
2002,"I Breathe In, I Breathe Out",Chris Cagle
2002,My List,Toby Keith
2002,Drive (For Daddy Gene),Alan Jackson
2002,Living And Living Well,George Strait
2002,I'm Gonna Miss Her (The Fishin' Song),Brad Paisley
2002,"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith
2002,The Good Stuff,Kenny Chesney
2002,Unbroken,Tim McGraw
2002,I Miss My Friend,Darryl Worley
2002,Beautiful Mess,Diamond Rio
2002,Ten Rounds With Jose Cuervo,Tracy Byrd
2002,Somebody Like You,Keith Urban
2002,These Days,Rascal Flatts
2002,Who's Your Daddy?,Toby Keith
2002,She'll Leave You With A Smile,George Strait
2003,She'll Leave You With A Smile,George Strait
2003,19 Somethin',Mark Wills
2003,The Baby,Blake Shelton
2003,Man To Man,Gary Allan
2003,Travelin' Soldier,Dixie Chicks
2003,Brokenheartsville,Joe Nichols
2003,Have You Forgotten?,Darryl Worley
2003,Three Wooden Crosses,Randy Travis
2003,I Believe,Diamond Rio
2003,Beer For My Horses,Toby Keith Duet With Willie Nelson
2003,My Front Porch Looking In,Lonestar
2003,Red Dirt Road,Brooks & Dunn
2003,It's Five O'Clock Somewhere,Alan Jackson & Jimmy Buffett
2003,What Was I Thinkin',Dierks Bentley
2003,Real Good Man,Tim McGraw
2003,Tough Little Boys,Gary Allan
2003,Who Wouldn't Wanna Be Me,Keith Urban
2003,I Love This Bar,Toby Keith
2003,There Goes My Life,Kenny Chesney
2004,There Goes My Life,Kenny Chesney
2004,Remember When,Alan Jackson
2004,American Soldier,Toby Keith
2004,Watch The Wind Blow By,Tim McGraw
2004,When The Sun Goes Down,Kenny Chesney & Uncle Kracker
2004,You'll Think Of Me,Keith Urban
2004,Mayberry,Rascal Flatts
2004,Redneck Woman,Gretchen Wilson
2004,If You Ever Stop Loving Me,Montgomery Gentry
2004,Whiskey Girl,Toby Keith
2004,Live Like You Were Dying,Tim McGraw
2004,Somebody,Reba McEntire
2004,Girls Lie Too,Terri Clark
2004,Days Go By,Keith Urban
2004,Suds In The Bucket,Sara Evans
2004,I Hate Everything,George Strait
2004,In A Real Love,Phil Vassar
2004,Mr. Mom,Lonestar
2004,Nothing On But The Radio,Gary Allan
2004,Back When,Tim McGraw
2004,Some Beach,Blake Shelton
2005,Some Beach,Blake Shelton
2005,"Awful, Beautiful Life",Darryl Worley
2005,Mud On The Tires,Brad Paisley
2005,Bless The Broken Road,Rascal Flatts
2005,Nothin' To Lose,Josh Gracin
2005,That's What I Love About Sunday,Craig Morgan
2005,Anything But Mine,Kenny Chesney
2005,It's Getting Better All The Time,Brooks & Dunn
