Year,Title,Artist
2000,Fly Away (Bye Bye),Eyes Cream
2000,Supersonic,Jamiroquai
2000,Above The Clouds,Amber
2000,That Sound,Michael Moog
2000,Take A Picture,Filter
2000,Temperamental,Everything But The Girl
2000,I Learned From The Best,Whitney Houston
2000,Stop Playing With My Mind,Barbara Tucker Featuring Darryl D'Bonneau
2000,Planet Love,Taylor Dayne
2000,The Chase,Giorgio Moroder Vs. Jam & Spoon
2000,American Pie,Madonna
2000,Think It Over,Jennifer Holliday
2000,King Of My Castle,Wamdue Project
2000,Missing You,Kim English
2000,It Feels So Good,Sonique
2000,Be With You,Enrique Iglesias
2000,If It Don't Fit,Abigail
2000,I'm In Love,Veronica
2000,I Will Love Again,Lara Fabian
2000,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe
2000,When I Get Close To You,Jocelyn Enriquez
2000,Show Me,Angel Clivilles
2000,Flash,Green Velvet
2000,I'm Not In Love,Olive
2000,Don't You Want My Love,Rosabel Featuring Debbie Jacobs-Rock
2000,Don't Call Me Baby,Madison Avenue
2000,Bingo Bango,Basement Jaxx
2000,I Never Knew,Deborah Cox
2000,Spanish Guitar,Toni Braxton
2000,Desire,Ultra Nate
2000,Stronger,Kristine W
2000,Music,Madonna
2000,Your Child,Mary J. Blige
2000,Don't Want Another Man,Dynamix Presents Tina Ann
2000,Lovin' Is Really My Game,Ann Nesby
2000,I Turn To You,Melanie C
2000,Pasilda,Afro Medusa
2000,Love One Another,Amber
2000,Dreamin',Loleatta Holloway
2000,Independent Women Part I,Destiny's Child
2000,Livin' For Love,Natalie Cole
2000,One More Time,Daft Punk
2001,One More Time,Daft Punk
2001,The Underground,Celeda
2001,Don't Tell Me,Madonna
2001,Lady (Hear Me Tonight),Modjo
2001,Beautiful Day,U2
2001,Lovin' You,Kristine W
2001,Boy,Book Of Love
2001,Papa's Got A Brand New Pigbag,Thunderpuss
2001,Stranger In My House,Tamia
2001,Who The Hell Are You?,Madison Avenue
2001,Needin' U II,David Morales Presents The Face Featuring Juliet Roberts
2001,Just Keep Thinking About You,Gloria Gaynor
2001,The Power,Rosabel Featuring Jeanie Tracy
2001,Mine To Give,Photek Featuring Robert Owens
2001,Is It Love?,Chili Hi Fly
2001,Looking For Love,Karen Ramirez
2001,Are You Satisfied,Victor Calderone Featuring Deborah Cooper
2001,All For You,Janet
2001,What It Feels Like For A Girl,Madonna
2001,Dream On,Depeche Mode
2001,Get It Up (The Feeling),Ultra Nate
2001,I'm Addicted (You're The Worst Thing For Me),Pusaka Featuring Thea Austin
2001,Bumpin' & Jumpin' (The Michael T. Diamond Mix),Kim English
2001,Keep Control,Sono
2001,Planets Of The Universe,Stevie Nicks
2001,Someone To Call My Lover,Janet
2001,You Set Me Free,Abigail
2001,Thank You,Dido
2001,I Feel Loved,Depeche Mode
2001,Absolutely Not,Deborah Cox
2001,Stand Still,Aubrey
2001,Feel This 2001,Robbie Rivera
2001,Crystal,New Order
2001,Yes,Amber
2001,It Began In Afrika,The Chemical Brothers
2001,Break 4 Love,Peter Rauhofer + Pet Shop Boys=The Collaboration
2001,Impressive Instant,Madonna
2001,So Strong,Ben Shaw Featuring Adele Holness
2001,Lettin' Ya Mind Go,Desert
2001,Hero,Enrique Iglesias
2001,Turn Off The Light,Nelly Furtado
2001,Come On Down,Crystal Waters
2002,Come On Down,Crystal Waters
2002,Guitarra G,G Club Presents Banda Sonora
2002,Everyday,Kim English
2002,Get The Party Started,P!nk
2002,Freelove,Depeche Mode
2002,Can't Get You Out Of My Head,Kylie Minogue
2002,Caught Up,DJ Disciple Featuring Mia Cox
2002,You Got Me (Burnin' Up),Funky Green Dogs
2002,Take My Hand,Dido
2002,Love's Gonna Save The Day,Georgie Porgie
2002,It's Love (Trippin'),Andrea Brown
2002,Song For The Lonely,Cher
2002,No More Drama,Mary J. Blige
2002,Wish I Didn't Miss You,Angie Stone
2002,It's Gonna Be...(A Lovely Day),Brancaccio & Aisher
2002,Alive,Kevin Aviance
2002,Can't Stop Dancin',Inaya Day
2002,Escape,Enrique Iglesias
2002,They-Say Vision,Res
2002,Soak Up The Sun,Sheryl Crow
2002,Days Go By,Dirty Vegas
2002,Hella Good,No Doubt
2002,Point Of View,DB Boulevard
2002,One Day In Your Life,Anastacia
2002,Lazy,X-Press 2
2002,Blame,Sono
2002,Love At First Sight,Kylie Minogue
2002,The Need To Be Naked,Amber
2002,The Sound Of Goodbye,Perpetuous Dreamer
2002,That Sound,Rosabel
2002,Shifter,Timo Maas Featuring MC Chickaboo
2002,Treat Me Right,Kim English
2002,A Different Kind Of Love Song,Cher
2002,You Gotta Believe,Fierce Ruling Diva
2002,Safe From Harm,Narcotic Thrust Featuring Yvonne John Lewis
2002,I Never Knew,Gloria Gaynor
2002,Empires [Bring Me Men],Lamya
2002,Whatchulookinat,Whitney Houston
2002,Addicted To Bass,Puretone
2002,I Don't Want U,Widelife
2002,Gotta Get Thru This,Daniel Bedingfield
2002,Serve The Ego,Jewel
2002,Insatiable,Thick Dick Featuring Latanza Waters
2002,Irresistible!,Superchumbo
2002,Die Another Day,Madonna
2002,Mr. Lonely,Deborah Cox
2002,The Sound Of Violence,Cassius With Steve Edwards
2002,Dark Beat (Addicted 2 Drums),Oscar G & Ralph Falcon
2003,Dark Beat (Addicted 2 Drums),Oscar G & Ralph Falcon
2003,Like I Love You,Justin Timberlake
2003,Some Lovin',Murk vs. Kristine W
2003,Surrender,Laura Pausini
2003,Through The Rain,Mariah Carey
2003,Head,Thunderpuss & Barnes
2003,Emotional Rollercoaster,Vivian Green
2003,The Wreckoning,Boomkat
2003,Rise Up,Funky Green Dogs
2003,The Hum Melody,Robbie Rivera
2003,Dance To The Rhythm,Friburn & Urik
2003,I Believe,Chris Cox Vs. Happy Clappers
2003,When The Money's Gone,Cher
2003,Try It On My Own,Whitney Houston
2003,Beautiful,Christina Aguilera
2003,On A High,Duncan Sheik
2003,Gossip Folks,"Missy ""Misdemeanor"" Elliott"
2003,Walking On Thin Ice,Ono
2003,I'll Be There,Weekend Players
2003,Love Is A Crime,Anastacia
2003,American Life,Madonna
2003,Rock Your Body,Justin Timberlake
2003,If That's Love,Laura Pausini
2003,Love That Man,Whitney Houston
2003,Getaway,Becky Baeling
2003,Not Gonna Get Us,t.A.T.u.
2003,Play Your Part,Deborah Cox
2003,So Gone,Monica
2003,Intuition,Jewel
2003,Alright,Murk
2003,Pavement Cracks,Annie Lennox
2003,Hollywood,Madonna
2003,Sunrise,Simply Red
2003,Harem (Cancao Do Mar),Sarah Brightman
2003,Crazy In Love,Beyonce
2003,My Time,Dutch Featuring Crystal Waters
2003,Get It Together,Seal
2003,Into The Sun,Weekend Players
2003,Send Your Love,Sting
2003,I Love I Love,Georgie Porgie
2003,Lei Lo Lai,The Latin Project
2003,What U Do 2 Me,Boomkat
2003,This Beat Is,Superchumbo
2003,Stand,Jewel
2003,Fly Again,Kristine W
2003,Milkshake,Kelis
2003,Waiting For You,Seal
2003,Believe,Murk
2003,Me Against The Music,Britney Spears Featuring Madonna
2004,Me Against The Music,Britney Spears Featuring Madonna
2004,Are You Ready For Love,Elton John
2004,A Thousand Beautiful Things,Annie Lennox
2004,Stoned,Dido
2004,Wonderful,Annie Lennox
2004,Nothing Fails,Madonna
2004,Fake,Simply Red
2004,Give It Up,Kevin Aviance
2004,Slow,Kylie Minogue
2004,Love's Divine,Seal
2004,Burning,Robbie Rivera & Axwell Featuring Suzan Brittan
2004,Face To Face,Daft Punk Featuring Todd Edwards
2004,Toxic,Britney Spears
2004,Love Profusion,Madonna
2004,Not In Love,Enrique Iglesias Featuring Kelis
2004,Save My Soul,Kristine W
2004,Amazing,George Michael
2004,Hole In The Head,Sugababes
2004,Never Let Me Down,Richard Vission
2004,Just A Little While,Janet Jackson
2004,How Did You Know,Kurtis Mantronik Presents Chamonix
2004,Dip It Low,Christina Milian
2004,Naughty Girl,Beyonce
2004,Strict Machine,Goldfrapp
2004,I'm Ready,Cherie
2004,Cha Cha Heels,Rosabel With Jeanie Tracy
2004,One With You,Sun
2004,Da Hype,Junior Jack Featuring Robert Smith
2004,Bac N Da Day,Frankie Knuckles Featuring Jamie Principle
2004,All Nite (Don't Stop),Janet Jackson
2004,Let The Sun Shine,Milk & Sugar Featuring Lizzy Pattinson
2004,Push The Feeling On,Nightcrawlers
2004,Stolen Car (Take Me Dancing),Sting Featuring Twista
2004,That Phone Track,DJ Dan
2004,I Wanna Thank Ya,Angie Stone
2004,Push,Ghostface Featuring Missy Elliott
2004,Flawless (Go To The City),George Michael
2004,Time,Murk
2004,Foolish Mind Games,Jason Walker
2004,Stupidisco,Junior Jack
2004,One Rhythm,Debi Nova
2004,O.G. Bitch,Esthero
2004,How Would U Feel,David Morales With Lea-Lorien
2004,Devil Inside,Utada
2004,DirtyFilthy,Superchumbo Featuring Celeda
2004,Everyman...Everywoman...,Ono
2004,Diary,Alicia Keys Featuring Tony! Toni! Tone!
2004,Sand In My Shoes,Dido
2004,(Reach Up For The) Sunrise,Duran Duran
2004,Which Way You're Going,Robbie Rivera
2004,Walk Into The Sun,Dirty Vegas
2004,What You Waiting For?,Gwen Stefani
2005,Lose My Breath,Destiny's Child
2005,Without Love,Sun
2005,The Wonder Of It All,Kristine W
2005,Silence 2004,Delerium Featuring Sarah McLachlan
2005,Killer 2005,Seal
2005,House Of Jupiter,Casey Stratton
2005,Soldier,Destiny's Child Featuring T.I. & Lil Wayne
2005,Pop!Ular,Darren Hayes
2005,Show It,Friburn & Urik
2005,Breathe,Erasure
2005,Avalon,Juliet
2005,How Can I Be Falling,Jennifer Green
2005,Love Is A Drug,Rosko
2005,Get Right,Jennifer Lopez
2005,Call Me,Anna Vissi
2005,Filthy Gorgeous,Scissor Sisters
2005,Set It Free,Jason Walker
2005,Everything,Kaskade
2005,It's Like That,Mariah Carey
2005,Here I Am,David Morales With Tamra Keenan
2005,Most Precious Love,Blaze Presents U.D.A.U.F.L. Featuring Barbara Tucker
2005,Lift It Up,Inaya Day
2005,One Word,Kelly Osbourne
2005,Lonely No More,Rob Thomas
2005,Don't Cha,The Pussycat Dolls Featuring Busta Rhymes
2005,Summer Moon,Africanism All Stars
2005,Gotta Go Gotta Leave (Tired),Vivian Green
2005,We Belong Together,Mariah Carey
2005,Accept Me,Vernessa Mitchell
2005,Sunshine,Georgie Porgie
2005,Ride The Pain,Juliet
2005,Looking For A New Love (Remixes),Jody Watley
2005,Shout,Sisaundra
2005,Back To Basics,Shape: UK
2005,Mesmerized,Faith Evans
2005,Say Hello,Deep Dish
2005,Pon de Replay,Rihanna
2005,I Like It (But I Don't Need It),Vivian Green
2005,Feels Just Like It Should,Jamiroquai
2005,Precious,Depeche Mode
2005,Cool,Gwen Stefani
2005,Hung Up,Madonna
2005,I've Got A Life (It's The Only Thing That's Mine),Eurythmics
2006,Perfect Love,Simply Red
2006,Love Generation,Bob Sinclar Featuring Gary Nesta Pine
2006,Don't Forget About Us,Mariah Carey
2006,House Is Not A Home,Deborah Cox
2006,Number 1,Goldfrapp
2006,Unwritten,Natasha Bedingfield
2006,In My Mind,Heather Headley
2006,Rhythm Intoxication,Rosabel
2006,Check On It,Beyonce Featuring Slim Thug
2006,Be Without You,Mary J. Blige
2006,Sorry,Madonna
2006,Talk,Coldplay
2006,Glory Of Life,Mink
2006,"Oh Yeah, Oh Six",Yello
2006,Ooh La La,Goldfrapp
