Year,Title,Artist
2000,Higher,Creed
2000,No Leaf Clover,Metallica
2000,Stiff Upper Lip,AC/DC
2000,Kryptonite,3 Doors Down
2000,I Disappear,Metallica
2000,With Arms Wide Open,Creed
2000,Californication,Red Hot Chili Peppers
2000,Loser,3 Doors Down
2001,Loser,3 Doors Down
2001,Awake,Godsmack
2001,Jaded,Aerosmith
2001,Outside,Aaron Lewis Of Staind With Fred Durst
2001,Breakdown,Tantric
2001,Duck And Run,3 Doors Down
2001,It's Been Awhile,Staind
2001,How You Remind Me,Nickelback
2001,My Sacrifice,Creed
2002,My Sacrifice,Creed
2002,Blurry,Puddle Of Mudd
2002,Too Bad,Nickelback
2002,I Stand Alone,Godsmack
2002,Hero,Chad Kroeger Featuring Josey Scott
2002,Drift & Die,Puddle Of Mudd
2002,By The Way,Red Hot Chili Peppers
2002,Aerials,System Of A Down
2002,Never Again,Nickelback
2002,She Hates Me,Puddle Of Mudd
2002,You Know You're Right,Nirvana
2002,When I'm Gone,3 Doors Down
2003,When I'm Gone,3 Doors Down
2003,Straight Out Of Line,Godsmack
2003,Somewhere I Belong,Linkin Park
2003,Like A Stone,Audioslave
2003,Send The Pain Below,Chevelle
2003,Headstrong,Trapt
2003,So Far Away,Staind
2003,Weak And Powerless,A Perfect Circle
2003,Still Frame,Trapt
2003,Away From Me,Puddle Of Mudd
2004,Numb,Linkin Park
2004,Figured You Out,Nickelback
2004,Cold Hard Bitch,Jet
2004,Slither,Velvet Revolver
2004,Just Like You,Three Days Grace
2004,Breaking The Habit,Linkin Park
2004,Fall To Pieces,Velvet Revolver
2004,Vitamin R (Leading Us Along),Chevelle
2005,Boulevard Of Broken Dreams,Green Day
2005,Be Yourself,Audioslave
2005,Happy?,Mudvayne
2005,Holiday,Green Day
2005,Remedy,Seether
2005,Best Of You,Foo Fighters
2005,Right Here,Staind
2005,Photograph,Nickelback
2005,Save Me,Shinedown
2006,Save Me,Shinedown
2006,Animals,Nickelback
2006,Speak,Godsmack
2006,Dani California,Red Hot Chili Peppers
2006,Animal I Have Become,Three Days Grace
2006,Through Glass,Stone Sour
2006,Land Of Confusion,Disturbed
2006,The Pot,Tool
2006,Pain,Three Days Grace
2007,Pain,Three Days Grace
2007,Breath,Breaking Benjamin
2007,What I've Done,Linkin Park
2007,I Don't Wanna Stop,Ozzy Osbourne
2007,Paralyzer,Finger Eleven
2007,Never Too Late,Three Days Grace
2007,The Pretender,Foo Fighters
2007,Fake It,Seether
2008,Fake It,Seether
2008,Psycho,Puddle Of Mudd
2008,It's Not My Time,3 Doors Down
2008,Inside The Fire,Disturbed
2008,Devour,Shinedown
2008,Bad Girlfriend,Theory Of A Deadman
2008,The Day That Never Comes,Metallica
2008,Rock N Roll Train,AC/DC
2008,I Don't Care,Apocalyptica Featuring Adam Gontier
2008,Second Chance,Shinedown
2009,Second Chance,Shinedown
2009,Something In Your Mouth,Nickelback
2009,Cyanide,Metallica
2009,Lifeline,Papa Roach
2009,Know Your Enemy,Green Day
2009,Sound Of Madness,Shinedown
2009,New Divide,Linkin Park
2009,Champagne,Cavo
2009,Whiskey Hangover,Godsmack
2009,Check My Brain,Alice In Chains
2009,I Will Not Bow,Breaking Benjamin
2009,Break,Three Days Grace
2010,Break,Three Days Grace
2010,Your Decision,Alice In Chains
2010,Cryin' Like A Bitch!,Godsmack
2010,The Good Life,Three Days Grace
2010,Let Me Hear You Scream,Ozzy Osbourne
2010,The Crow & The Butterfly,Shinedown
2010,Another Way To Die,Disturbed
2010,Say You'll Haunt Me,Stone Sour
2010,Porn Star Dancing,My Darkest Days Featuring Zakk Wylde
2010,World So Cold,Three Days Grace
