Year,Title,Artist
2000,I Knew I Loved You,Savage Garden
2000,What A Girl Wants,Christina Aguilera
2000,Show Me The Meaning Of Being Lonely,Backstreet Boys
2000,Bye Bye Bye,'N Sync
2000,I Try,Macy Gray
2000,Oops!...I Did It Again,Britney Spears
2000,It's Gonna Be Me,'N Sync
2000,Bent,matchbox twenty
2000,Absolutely (Story Of A Girl),Nine Days
2000,"Jumpin', Jumpin'",Destiny's Child
2000,Kryptonite,3 Doors Down
2000,With Arms Wide Open,Creed
2000,Independent Women Part I,Destiny's Child
2001,Independent Women Part I,Destiny's Child
2001,It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent"
2001,Again,Lenny Kravitz
2001,Love Don't Cost A Thing,Jennifer Lopez
2001,Angel,Shaggy Featuring Rayvon
2001,All For You,Janet
2001,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk"
2001,All Or Nothing,O-Town
2001,Let Me Blow Ya Mind,Eve Featuring Gwen Stefani
2001,Hit 'Em Up Style (Oops!),Blu Cantrell
2001,Fallin',Alicia Keys
2001,I'm Real,Jennifer Lopez Featuring Ja Rule
2001,Family Affair,Mary J. Blige
2001,How You Remind Me,Nickelback
2002,How You Remind Me,Nickelback
2002,Hey Baby,No Doubt Featuring Bounty Killer
2002,In The End,Linkin Park
2002,Ain't It Funny,Jennifer Lopez Featuring Ja Rule
2002,Don't Let Me Get Me,P!nk
2002,A Thousand Miles,Vanessa Carlton
2002,Without Me,Eminem
2002,Hot In Herre,Nelly
2002,Complicated,Avril Lavigne
2002,Dilemma,Nelly Featuring Kelly Rowland
2002,Sk8er Boi,Avril Lavigne
2002,Underneath It All,No Doubt Featuring Lady Saw
2002,Lose Yourself,Eminem
2003,Lose Yourself,Eminem
2003,Beautiful,Christina Aguilera
2003,I'm With You,Avril Lavigne
2003,All I Have,Jennifer Lopez Featuring LL Cool J
2003,In Da Club,50 Cent
2003,When I'm Gone,3 Doors Down
2003,Ignition,R. Kelly
2003,Rock Your Body,Justin Timberlake
2003,Bring Me To Life,Evanescence Featuring Paul McCoy
2003,Miss Independent,Kelly Clarkson
2003,Where Is The Love?,The Black Eyed Peas
2003,Crazy In Love,Beyonce Featuring Jay Z
2003,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee"
2003,Here Without You,3 Doors Down
2003,Baby Boy,Beyonce Featuring Sean Paul
2003,Hey Ya!,OutKast
2004,Hey Ya!,OutKast
2004,The Way You Move,OutKast Featuring Sleepy Brown
2004,With You,Jessica Simpson
2004,Toxic,Britney Spears
2004,Yeah!,Usher Featuring Lil Jon & Ludacris
2004,This Love,Maroon 5
2004,The Reason,Hoobastank
2004,Leave (Get Out),JoJo
2004,Pieces Of Me,Ashlee Simpson
2004,She Will Be Loved,Maroon 5
2004,My Happy Ending,Avril Lavigne
2004,Over And Over,Nelly Featuring Tim McGraw
2005,Over And Over,Nelly Featuring Tim McGraw
2005,I Don't Want To Be,Gavin DeGraw
2005,Let Me Love You,Mario
2005,"1, 2 Step",Ciara Featuring Missy Elliott
2005,Boulevard Of Broken Dreams,Green Day
2005,Since U Been Gone,Kelly Clarkson
2005,Hollaback Girl,Gwen Stefani
2005,We Belong Together,Mariah Carey
2005,Listen To Your Heart,D.H.T.
2005,Shake It Off,Mariah Carey
2005,Because Of You,Kelly Clarkson
2005,Gold Digger,Kanye West Featuring Jamie Foxx
2005,Run It!,Chris Brown
2006,Run It!,Chris Brown
2006,Stickwitu,The Pussycat Dolls
2006,Check On It,Beyonce Featuring Slim Thug
2006,So Sick,Ne-Yo
2006,Be Without You,Mary J. Blige
2006,Temperature,Sean Paul
2006,SOS,Rihanna
2006,Hips Don't Lie,Shakira Featuring Wyclef Jean
2006,Promiscuous,Nelly Furtado Featuring Timbaland
2006,Buttons,The Pussycat Dolls Featuring Snoop Dogg
2006,SexyBack,Justin Timberlake
2006,Far Away,Nickelback
2006,Lips Of An Angel,Hinder
2006,My Love,Justin Timberlake Featuring T.I.
2006,Irreplaceable,Beyonce
2007,Irreplaceable,Beyonce
2007,Say It Right,Nelly Furtado
2007,What Goes Around...Comes Around,Justin Timberlake
2007,It's Not Over,Daughtry
