Year,Title,Artist
2000,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip"
2000,Get It On Tonite,Montell Jordan
2000,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees
2000,Say My Name,Destiny's Child
2000,Maria Maria,Santana Featuring The Product G&B
2000,He Wasn't Man Enough,Toni Braxton
2000,I Wish,Carl Thomas
2000,Separated,Avant
2000,Let's Get Married,Jagged Edge
2000,Incomplete,Sisqo
2000,No More,Ruff Endz
2000,Wifey,Next
2000,Bounce With Me,Lil Bow Wow Featuring Xscape
2000,Liar,Profyle
2000,Bag Lady,Erykah Badu
2000,I Just Wanna Love U (Give It 2 Me),JAY-Z
2000,Ms. Jackson,OutKast
2000,Independent Women Part I,Destiny's Child
2001,Independent Women Part I,Destiny's Child
2001,I Just Wanna Love U (Give It 2 Me),JAY-Z
2001,Danger (Been So Long),Mystikal Featuring Nivea
2001,Ms. Jackson,OutKast
2001,Stutter,Joe Featuring Mystikal
2001,It's Over Now,112
2001,Promise,Jagged Edge
2001,All For You,Janet
2001,Missing You,Case
2001,My Baby,Lil' Romeo
2001,Fiesta,R. Kelly Featuring Jay-Z
2001,U Remind Me,Usher
2001,Loverboy,Mariah Carey Featuring Da Brat & Ludacris
2001,Fallin',Alicia Keys
2001,Where The Party At,Jagged Edge With Nelly
2001,Differences,Ginuwine
2001,Family Affair,Mary J. Blige
2001,U Got It Bad,Usher
2002,Always On Time,Ja Rule Featuring Ashanti
2002,"Lights, Camera, Action!",Mr. Cheeks
2002,Oops (Oh My),Tweet
2002,Foolish,Ashanti
2002,Oh Boy,Cam'Ron Featuring Juelz Santana
2002,Hot In Herre,Nelly
2002,Dilemma,Nelly Featuring Kelly Rowland
2002,Luv U Better,LL Cool J
2002,Work It,"Missy ""Misdemeanor"" Elliott"
2002,Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common
2003,Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common
2003,Miss You,Aaliyah
2003,In Da Club,50 Cent
2003,Excuse Me Miss,JAY-Z
2003,Get Busy,Sean Paul
2003,21 Questions,50 Cent Featuring Nate Dogg
2003,So Gone,Monica
2003,Crazy In Love,Beyonce Featuring Jay Z
2003,Frontin',Pharrell Featuring Jay-Z
2003,Baby Boy,Beyonce Featuring Sean Paul
2003,Stand Up,Ludacris Featuring Shawnna
2003,Step In The Name Of Love,R. Kelly
2003,You Don't Know My Name,Alicia Keys
2004,You Don't Know My Name,Alicia Keys
2004,Slow Jamz,Twista Featuring Kanye West & Jamie Foxx
2004,Yeah!,Usher Featuring Lil Jon & Ludacris
2004,If I Ain't Got You,Alicia Keys
2004,Burn,Usher
2004,Confessions Part II,Usher
2004,Lean Back,Terror Squad
2004,Goodies,Ciara Featuring Petey Pablo
2004,My Boo,Usher And Alicia Keys
2004,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell
2005,Let Me Love You,Mario
2005,Candy Shop,50 Cent Featuring Olivia
2005,Hate It Or Love It,The Game Featuring 50 Cent
2005,1 Thing,Amerie
2005,Slow Down,Bobby Valentino
2005,We Belong Together,Mariah Carey
2005,Like You,Bow Wow Featuring Ciara
2005,Gold Digger,Kanye West Featuring Jamie Foxx
2005,Soul Survivor,Young Jeezy Featuring Akon
2005,Run It!,Chris Brown
2005,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow"
2005,Don't Forget About Us,Mariah Carey
2006,Be Without You,Mary J. Blige
2006,What You Know,T.I.
2006,It's Goin' Down,Yung Joc
2006,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ
2006,Me & U,Cassie
2006,Shoulder Lean,Young Dro Featuring T.I.
2006,Deja Vu,Beyonce Featuring Jay Z
2006,Pullin' Me Back,Chingy Featuring Tyrese
2006,Call On Me,Janet & Nelly
2006,Say Goodbye,Chris Brown
2006,Money Maker,Ludacris Featuring Pharrell
2006,Irreplaceable,Beyonce
2007,Irreplaceable,Beyonce
2007,Promise,Ciara
2007,You,Lloyd Featuring Lil Wayne
2007,Lost Without U,Robin Thicke
2007,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc
2007,When I See U,Fantasia
2007,Let It Go,Keyshia Cole Featuring Missy Elliott & Lil Kim
2007,Bed,J. Holiday
2007,No One,Alicia Keys
2008,Like You'll Never See Me Again,Alicia Keys
2008,I Remember,Keyshia Cole
2008,Love In This Club,Usher Featuring Young Jeezy
2008,Lollipop,Lil Wayne Featuring Static Major
2008,Heaven Sent,Keyshia Cole
2008,A Milli,Lil Wayne
2008,Take A Bow,Rihanna
2008,Need U Bad,Jazmine Sullivan
2008,Whatever You Like,T.I.
2008,Spotlight,Jennifer Hudson
2008,Miss Independent,Ne-Yo
2008,Single Ladies (Put A Ring On It),Beyonce
2009,Single Ladies (Put A Ring On It),Beyonce
2009,Blame It,Jamie Foxx Featuring T-Pain
2009,Birthday Sex,Jeremih
2009,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo
2009,Best I Ever Had,Drake
2009,Pretty Wings,Maxwell
2009,Empire State Of Mind,Jay-Z + Alicia Keys
2009,Papers,Usher
2009,I Invented Sex,Trey Songz Featuring Drake
2010,I Invented Sex,Trey Songz Featuring Drake
2010,It Kills Me,Melanie Fiona
2010,Sex Therapy,Robin Thicke
2010,Say Something,Timbaland Featuring Drake
2010,Everything To Me,Monica
2010,Un-Thinkable (I'm Ready),Alicia Keys
2010,There Goes My Baby,Usher
2010,Deuces,Chris Brown Featuring Tyga & Kevin McCall
2010,Can't Be Friends,Trey Songz
