Year,Title,Artist
2000,Back At One,Brian McKnight
2000,I Knew I Loved You,Savage Garden
2000,Bye Bye Bye,'N Sync
2000,Say My Name,Destiny's Child
2000,Maria Maria,Santana Featuring The Product G&B
2000,Thong Song,Sisqo
2000,Try Again,Aaliyah
2000,"Jumpin', Jumpin'",Destiny's Child
2000,Kryptonite,3 Doors Down
2000,Independent Women Part I,Destiny's Child
2001,Independent Women Part I,Destiny's Child
2001,It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent"
2001,Love Don't Cost A Thing,Jennifer Lopez
2001,Angel,Shaggy Featuring Rayvon
2001,Survivor,Destiny's Child
2001,All For You,Janet
2001,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk"
2001,Hanging By A Moment,Lifehouse
2001,Let Me Blow Ya Mind,Eve Featuring Gwen Stefani
2001,Fallin',Alicia Keys
2001,I'm Real,Jennifer Lopez Featuring Ja Rule
2001,Family Affair,Mary J. Blige
2001,U Got It Bad,Usher
2002,U Got It Bad,Usher
2002,Always On Time,Ja Rule Featuring Ashanti
2002,Ain't It Funny,Jennifer Lopez Featuring Ja Rule
2002,Foolish,Ashanti
2002,Hot In Herre,Nelly
2002,Dilemma,Nelly Featuring Kelly Rowland
2002,Lose Yourself,Eminem
2003,Lose Yourself,Eminem
2003,"Bump, Bump, Bump",B2K & P. Diddy
2003,All I Have,Jennifer Lopez Featuring LL Cool J
2003,In Da Club,50 Cent
2003,Get Busy,Sean Paul
2003,21 Questions,50 Cent Featuring Nate Dogg
2003,Magic Stick,Lil' Kim Featuring 50 Cent
2003,Crazy In Love,Beyonce Featuring Jay Z
2003,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee"
2003,Baby Boy,Beyonce Featuring Sean Paul
2003,Stand Up,Ludacris Featuring Shawnna
2003,Hey Ya!,OutKast
2004,Hey Ya!,OutKast
2004,Slow Jamz,Twista Featuring Kanye West & Jamie Foxx
2004,Yeah!,Usher Featuring Lil Jon & Ludacris
2004,Burn,Usher
2004,Confessions Part II,Usher
2004,Slow Motion,Juvenile Featuring Soulja Slim
2004,Lean Back,Terror Squad
2004,Goodies,Ciara Featuring Petey Pablo
2004,My Boo,Usher And Alicia Keys
2004,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell
2005,Let Me Love You,Mario
2005,Candy Shop,50 Cent Featuring Olivia
2005,Hate It Or Love It,The Game Featuring 50 Cent
2005,Oh,Ciara Featuring Ludacris
2005,We Belong Together,Mariah Carey
2005,Shake It Off,Mariah Carey
2005,Gold Digger,Kanye West Featuring Jamie Foxx
2005,Run It!,Chris Brown
2006,Don't Forget About Us,Mariah Carey
2006,Check On It,Beyonce Featuring Slim Thug
2006,Be Without You,Mary J. Blige
2006,Temperature,Sean Paul
2006,Hips Don't Lie,Shakira Featuring Wyclef Jean
2006,Ridin',Chamillionaire Featuring Krayzie Bone
2006,It's Goin' Down,Yung Joc
2006,Me & U,Cassie
2006,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole
2006,Pullin' Me Back,Chingy Featuring Tyrese
2006,SexyBack,Justin Timberlake
2006,Money Maker,Ludacris Featuring Pharrell
2006,My Love,Justin Timberlake Featuring T.I.
2006,Irreplaceable,Beyonce
2007,Irreplaceable,Beyonce
2007,Runaway Love,Ludacris Featuring Mary J. Blige
2007,You,Lloyd Featuring Lil Wayne
2007,This Is Why I'm Hot,Mims
2007,Don't Matter,Akon
2007,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc
2007,Umbrella,Rihanna Featuring Jay-Z
2007,Beautiful Girls,Sean Kingston
2007,Big Girls Don't Cry,Fergie
2007,Stronger,Kanye West
2007,Crank That (Soulja Boy),Soulja Boy Tell'em
2007,No One,Alicia Keys
2008,No One,Alicia Keys
2008,Low,Flo Rida Featuring T-Pain
2008,With You,Chris Brown
2008,Love In This Club,Usher Featuring Young Jeezy
2008,Lollipop,Lil Wayne Featuring Static Major
2008,Take A Bow,Rihanna
2008,Forever,Chris Brown
2008,Closer,Ne-Yo
2008,Whatever You Like,T.I.
2008,Live Your Life,T.I. Featuring Rihanna
2009,Live Your Life,T.I. Featuring Rihanna
2009,Single Ladies (Put A Ring On It),Beyonce
2009,Heartless,Kanye West
2009,Dead And Gone,T.I. Featuring Justin Timberlake
2009,Blame It,Jamie Foxx Featuring T-Pain
2009,Boom Boom Pow,The Black Eyed Peas
2009,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo
2009,Best I Ever Had,Drake
2009,I Gotta Feeling,The Black Eyed Peas
2009,You Belong With Me,Taylor Swift
2009,Down,Jay Sean Featuring Lil Wayne
2009,Paparazzi,Lady Gaga
2009,Empire State Of Mind,Jay-Z + Alicia Keys
2010,Empire State Of Mind,Jay-Z + Alicia Keys
2010,TiK ToK,Ke$ha
2010,BedRock,Young Money Featuring Lloyd
2010,Need You Now,Lady Antebellum
2010,Rude Boy,Rihanna
2010,Nothin' On You,B.o.B Featuring Bruno Mars
2010,OMG,Usher Featuring will.i.am
2010,California Gurls,Katy Perry Featuring Snoop Dogg
2010,Love The Way You Lie,Eminem Featuring Rihanna
2010,Teenage Dream,Katy Perry
2010,Just The Way You Are,Bruno Mars
2010,Only Girl (In The World),Rihanna
