Year,Title,Artist
2000,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip"
2000,Whistle While You Twurk,Ying Yang Twins
2000,Wobble Wobble,504 Boyz
2000,(Hot S**t) Country Grammar,Nelly
2000,Flamboyant,Big L
2000,Callin' Me,Lil' Zane Featuring 112
2000,Bounce With Me,Lil Bow Wow Featuring Xscape
2000,Move Somethin',Talib Kweli & Hi-Tek
2000,It's OK,Slimm Calhoun Featuring Andre 3000
2000,Souljas,Master P
2000,Baby If You're Ready,Snoop Dogg Presents Doggys Angels Featuring LaToya
2001,Baby If You're Ready,Snoop Dogg Presents Doggys Angels Featuring LaToya
2001,Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg
2001,Ms. Jackson,OutKast
2001,It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent"
2001,Bow Wow (That's My Name),Lil Bow Wow
2001,What Would You Do?,City High
2001,My Baby,Lil' Romeo
2001,Purple Hills,D12
2001,My Projects,Coo Coo Cal
2001,Raise Up,Petey Pablo
2001,Dansin Wit Wolvez,Strik 9ine
2002,Round And Round,Jonell & Method Man
2002,"Lights, Camera, Action!",Mr. Cheeks
2002,Feels Good (Don't Worry Bout A Thing),Naughty By Nature Featuring 3LW
2002,Ballin' Boy,No Good
2002,I Need A Girl (Part One),P. Diddy Featuring Usher & Loon
2002,Oh Boy,Cam'Ron Featuring Juelz Santana
2002,Hot In Herre,Nelly
2002,Dilemma,Nelly Featuring Kelly Rowland
2002,Work It,"Missy ""Misdemeanor"" Elliott"
2003,Work It,"Missy ""Misdemeanor"" Elliott"
2003,Air Force Ones,"Nelly Featuring Kyjuan, Ali & Murphy Lee"
2003,In Da Club,50 Cent
2003,21 Questions,50 Cent Featuring Nate Dogg
2003,Magic Stick,Lil' Kim Featuring 50 Cent
2003,Right Thurr,Chingy
2003,P.I.M.P.,50 Cent
2003,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins
2003,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee"
2003,Damn!,YoungBloodZ Featuring Lil Jon
2003,Stand Up,Ludacris Featuring Shawnna
2003,The Way You Move,OutKast Featuring Sleepy Brown
2004,The Way You Move,OutKast Featuring Sleepy Brown
2004,Slow Jamz,Twista Featuring Kanye West & Jamie Foxx
2004,One Call Away,Chingy Featuring J. Weav
2004,Tipsy,J-Kwon
2004,Overnight Celebrity,Twista
2004,Slow Motion,Juvenile Featuring Soulja Slim
2004,Lean Back,Terror Squad
2004,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell
2005,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell
2005,Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris
2005,Candy Shop,50 Cent Featuring Olivia
2005,Hate It Or Love It,The Game Featuring 50 Cent
2005,Just A Lil Bit,50 Cent
2005,Let Me Hold You,Bow Wow Featuring Omarion
2005,Like You,Bow Wow Featuring Ciara
2005,Gold Digger,Kanye West Featuring Jamie Foxx
2005,Soul Survivor,Young Jeezy Featuring Akon
2005,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow"
2006,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
2006,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay
2006,What You Know,T.I.
2006,It's Goin' Down,Yung Joc
2006,Shoulder Lean,Young Dro Featuring T.I.
2006,Pullin' Me Back,Chingy Featuring Tyrese
2006,Money Maker,Ludacris Featuring Pharrell
2006,Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin
2007,Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin
2007,We Fly High,Jim Jones
2007,Runaway Love,Ludacris Featuring Mary J. Blige
2007,This Is Why I'm Hot,Mims
2007,I'm A Flirt,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain)
2007,Party Like A Rockstar,Shop Boyz
2007,Make Me Better,Fabolous Featuring Ne-Yo
2007,Shawty,Plies Featuring T-Pain
2007,Crank That (Soulja Boy),Soulja Boy Tell'em
2007,Good Life,Kanye West Featuring T-Pain
2008,Low,Flo Rida Featuring T-Pain
2008,Independent,Webbie Featuring Lil' Phat & Lil' Boosie
2008,Lollipop,Lil Wayne Featuring Static Major
2008,A Milli,Lil Wayne
2008,Put On,Young Jeezy Featuring Kanye West
2008,Whatever You Like,T.I.
2008,Live Your Life,T.I. Featuring Rihanna
2009,Live Your Life,T.I. Featuring Rihanna
2009,Heartless,Kanye West
2009,Dead And Gone,T.I. Featuring Justin Timberlake
2009,Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie
2009,Boom Boom Pow,The Black Eyed Peas
2009,Best I Ever Had,Drake
2009,Run This Town,"Jay-Z, Rihanna & Kanye West"
2009,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem"
2009,Empire State Of Mind,Jay-Z + Alicia Keys
2010,Empire State Of Mind,Jay-Z + Alicia Keys
2010,BedRock,Young Money Featuring Lloyd
2010,Say Something,Timbaland Featuring Drake
2010,Nothin' On You,B.o.B Featuring Bruno Mars
2010,Over,Drake
2010,Your Love,Nicki Minaj
2010,Love The Way You Lie,Eminem Featuring Rihanna
2010,Fancy,Drake Featuring T.I. & Swizz Beatz
2010,Right Above It,Lil Wayne Featuring Drake
2010,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale
2010,Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele
