Year,Title,Artist
2000,Bring It All To Me,Blaque
2000,What A Girl Wants,Christina Aguilera
2000,Say My Name,Destiny's Child
2000,Thong Song,Sisqo
2000,Try Again,Aaliyah
2000,The Real Slim Shady,Eminem
2000,Big Pimpin',Jay-Z Featuring UGK
2000,(Hot S**t) Country Grammar,Nelly
2000,Most Girls,P!nk
2000,Case Of The Ex (Whatcha Gonna Do),Mya
2000,Independent Women Part I,Destiny's Child
2000,It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent"
2001,Ms. Jackson,OutKast
2001,Angel,Shaggy Featuring Rayvon
2001,Put It On Me,Ja Rule Featuring Lil' Mo & Vita
2001,Ride Wit Me,Nelly Featuring City Spud
2001,Survivor,Destiny's Child
2001,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk"
2001,Let Me Blow Ya Mind,Eve Featuring Gwen Stefani
2001,Peaches & Cream,112
2001,I'm Real,Jennifer Lopez Featuring Ja Rule
2001,Family Affair,Mary J. Blige
2001,U Got It Bad,Usher
2002,U Got It Bad,Usher
2002,Always On Time,Ja Rule Featuring Ashanti
2002,Ain't It Funny,Jennifer Lopez Featuring Ja Rule
2002,What's Luv?,Fat Joe Featuring Ashanti
2002,Foolish,Ashanti
2002,Without Me,Eminem
2002,Hot In Herre,Nelly
2002,I Need A Girl (Part Two),"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri"
2002,Dilemma,Nelly Featuring Kelly Rowland
2002,Work It,"Missy ""Misdemeanor"" Elliott"
2002,Lose Yourself,Eminem
2003,'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles
2003,"Bump, Bump, Bump",B2K & P. Diddy
2003,All I Have,Jennifer Lopez Featuring LL Cool J
2003,In Da Club,50 Cent
2003,Ignition,R. Kelly
2003,Get Busy,Sean Paul
2003,Can't Let You Go,Fabolous Featuring Mike Shorey & Lil' Mo
2003,21 Questions,50 Cent Featuring Nate Dogg
2003,Magic Stick,Lil' Kim Featuring 50 Cent
2003,Right Thurr,Chingy
2003,Crazy In Love,Beyonce Featuring Jay Z
2003,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee"
2003,Baby Boy,Beyonce Featuring Sean Paul
2003,Holidae In,Chingy Featuring Ludacris & Snoop Dogg
2003,Stand Up,Ludacris Featuring Shawnna
2003,Hey Ya!,OutKast
2003,Milkshake,Kelis
2004,Milkshake,Kelis
2004,Slow Jamz,Twista Featuring Kanye West & Jamie Foxx
2004,Yeah!,Usher Featuring Lil Jon & Ludacris
2004,I Don't Wanna Know,Mario Winans Featuring Enya & P. Diddy
2004,My Band,D12
2004,Naughty Girl,Beyonce
2004,Burn,Usher
2004,Confessions Part II,Usher
2004,Slow Motion,Juvenile Featuring Soulja Slim
2004,Sunshine,Lil' Flip Featuring Lea
2004,Lean Back,Terror Squad
2004,Goodies,Ciara Featuring Petey Pablo
2004,My Boo,Usher And Alicia Keys
2004,Over And Over,Nelly Featuring Tim McGraw
2004,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell
2005,Let Me Love You,Mario
2005,Disco Inferno,50 Cent
2005,Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris
2005,How We Do,The Game Featuring 50 Cent
2005,Candy Shop,50 Cent Featuring Olivia
2005,Hate It Or Love It,The Game Featuring 50 Cent
2005,Oh,Ciara Featuring Ludacris
2005,We Belong Together,Mariah Carey
2005,Let Me Hold You,Bow Wow Featuring Omarion
2005,Shake It Off,Mariah Carey
2005,Like You,Bow Wow Featuring Ciara
2005,Gold Digger,Kanye West Featuring Jamie Foxx
2005,Run It!,Chris Brown
2006,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
2006,So Sick,Ne-Yo
2006,Check On It,Beyonce Featuring Slim Thug
2006,Be Without You,Mary J. Blige
2006,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay
2006,Ridin',Chamillionaire Featuring Krayzie Bone
2006,So What,Field Mob Featuring Ciara
2006,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ
2006,It's Goin' Down,Yung Joc
2006,Me & U,Cassie
2006,Pullin' Me Back,Chingy Featuring Tyrese
2006,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick
2006,Money Maker,Ludacris Featuring Pharrell
2006,I Wanna Love You,Akon Featuring Snoop Dogg
2006,Smack That,Akon Featuring Eminem
2006,Irreplaceable,Beyonce
2007,Irreplaceable,Beyonce
2007,You,Lloyd Featuring Lil Wayne
2007,This Is Why I'm Hot,Mims
2007,Don't Matter,Akon
2007,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc
2007,Party Like A Rockstar,Shop Boyz
2007,Beautiful Girls,Sean Kingston
2007,Bartender,T-Pain Featuring Akon
2007,Make Me Better,Fabolous Featuring Ne-Yo
2007,Shawty,Plies Featuring T-Pain
2007,Crank That (Soulja Boy),Soulja Boy Tell'em
2007,Kiss Kiss,Chris Brown Featuring T-Pain
2007,No One,Alicia Keys
2007,Low,Flo Rida Featuring T-Pain
2008,Low,Flo Rida Featuring T-Pain
2008,With You,Chris Brown
2008,Love In This Club,Usher Featuring Young Jeezy
2008,Sexy Can I,Ray J & Yung Berg
2008,Lollipop,Lil Wayne Featuring Static Major
2008,Get Like Me,David Banner Featuring Chris Brown
2008,I Luv Your Girl,The-Dream
2008,A Milli,Lil Wayne
2008,Dangerous,Kardinal Offishall Featuring Akon
2008,Got Money,Lil Wayne Featuring T-Pain
2008,Whatever You Like,T.I.
2008,Live Your Life,T.I. Featuring Rihanna
2009,Live Your Life,T.I. Featuring Rihanna
2009,Heartless,Kanye West
2009,Dead And Gone,T.I. Featuring Justin Timberlake
2009,Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie
2009,Blame It,Jamie Foxx Featuring T-Pain
2009,Day 'N' Nite,Kid Cudi
2009,Boom Boom Pow,The Black Eyed Peas
2009,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo
2009,Birthday Sex,Jeremih
2009,Best I Ever Had,Drake
2009,Down,Jay Sean Featuring Lil Wayne
2009,Run This Town,"Jay-Z, Rihanna & Kanye West"
2009,Whatcha Say,Jason Derulo
2009,Sweet Dreams,Beyonce
2009,Empire State Of Mind,Jay-Z + Alicia Keys
2010,Empire State Of Mind,Jay-Z + Alicia Keys
2010,Replay,Iyaz
2010,BedRock,Young Money Featuring Lloyd
2010,Nothin' On You,B.o.B Featuring Bruno Mars
2010,Rude Boy,Rihanna
2010,OMG,Usher Featuring will.i.am
2010,Find Your Love,Drake
2010,Love The Way You Lie,Eminem Featuring Rihanna
2010,DJ Got Us Fallin' In Love,Usher Featuring Pitbull
2010,Bottoms Up,Trey Songz Featuring Nicki Minaj
2010,Like A G6,Far*East Movement Featuring Cataracs & Dev
2010,Just A Dream,Nelly
2010,Only Girl (In The World),Rihanna
2010,What's My Name?,Rihanna Featuring Drake
