Slur
Anal assassin
anal astronaut
Arse bandit
Back door bandit
Backgammon player
Batty boy
Bent
bentshot
bender
Bone smuggler
Brownie king
Bufter
bufty
booty buffer
brown piper
Bugger
Bum bandit
butt bandit
bun bandit
Bum boy
bum chum
bum robber
Bum-driller
Bumhole engineer
Butt pirate
butt boy
butt rider
butt pilot
butt rustler
Chi chi man
Chutney ferret
Cockstruction worker
Cock jockey
Cock knocker
cockknocker
cocknocker
Cockpipe cosmonaut
Crafty butcher
Daffodil
daffy
Donut muncher
Donut puncher
Faggot
fag
Fairy
Finocchio
Flamer
Flit
Friend of Franky
Friend of Dorothy
Fruit
fruit loop
fruit packer
butt fruit
Fudge packer
Harry hoofter
Gaysian
Gym Bunny
iron hoofter
Jobby jabber
Knob jockey
Light in the loafers
Light in the pants
Light in the fedora
Limp wristed
Marmite miner
Meat Masseuse
Muscle Mary
nancy boy
girlyboy
nellie
Oklahomo
Pansy
Payaso
Pillow biter
mattress muncher
Poof
poofter
pouf
poove
pooftah
pooff
puff
Bean queen
taco queen
Salsa queen
Brownie queen
Chicken queen
Curry queen
Dinge queen
Drag queen
Grey queen
Gym queen
Pissy queen
Potato queen
Rice queen
Scat queen
Ring raider
Sausage jockey
Shirt lifter
Shit stabber
Sod
Sperm gurgler
Turd burglar
Twink
Uphill gardener
upstairs gardener
Woolly
woofter
Woolly
